idx	cutoff_idx
0	[13]
1	[5]
2	[5]
3	[9]
4	[9]
5	[4]
6	[5]
7	[10]
8	[5]
9	[3]
10	[7]
11	[4]
12	[4]
13	[7]
14	[3]
15	[6]
16	[4]
17	[3]
18	[2]
19	[9]
20	[2]
21	[1]
22	[2]
23	[2]
24	[3]
25	[3]
26	[3]
27	[4]
28	[4]
29	[7]
30	[8]
31	[5]
32	[7]
33	[4]
34	[6]
35	[4]
36	[3]
37	[4]
38	[1]
39	[3]
40	[5]
41	[7]
42	[3]
43	[5]
44	[6]
45	[7]
46	[1]
47	[6]
48	[1]
49	[5]
50	[4]
51	[4]
52	[4]
53	[5]
54	[6]
55	[6]
56	[6]
57	[4]
58	[8]
59	[6]
60	[6]
61	[3]
62	[6]
63	[3]
64	[5]
65	[6]
66	[4]
67	[3]
68	[5]
69	[6]
70	[6]
71	[9]
72	[6]
73	[9]
74	[6]
75	[4]
76	[7]
77	[4]
78	[5]
79	[5]
80	[5]
81	[5]
82	[1]
83	[6]
84	[8]
85	[2]
86	[4]
87	[1]
88	[3]
89	[2]
90	[18, 3]
91	[2]
92	[4]
93	[5]
94	[5]
95	[5]
96	[4]
97	[5]
98	[3]
99	[6]
100	[9]
101	[9]
102	[8]
103	[6]
104	[8]
105	[10]
106	[3]
107	[7]
108	[15, 17]
109	[6]
110	[4]
111	[15]
112	[10]
113	[4]
114	[9]
115	[2]
116	[11]
117	[11]
118	[3, 13]
119	[5]
120	[3]
121	[7]
122	[3]
123	[3, 2]
124	[7]
125	[7]
126	[4]
127	[7]
128	[13, 9]
129	[13, 15]
130	[10]
131	[10, 16]
132	[13]
133	[8]
134	[12]
135	[1]
136	[11]
137	[4]
138	[8]
139	[12]
140	[2]
141	[11]
142	[1]
143	[2]
144	[2]
145	[2]
146	[1, 2]
147	[6]
148	[2]
149	[13]
150	[2]
151	[2]
152	[2]
153	[11]
154	[3, 5]
155	[4, 2]
156	[6]
157	[7]
158	[7]
159	[10]
160	[6]
161	[3]
162	[14]
163	[10]
164	[4]
165	[2]
166	[5]
167	[7]
168	[3]
169	[6]
170	[14]
171	[8]
172	[2]
173	[10]
174	[5]
175	[1]
176	[8]
177	[12]
178	[2]
179	[8]
180	[7]
181	[9]
182	[2]
183	[8, 2]
184	[12]
185	[1]
186	[12]
187	[9]
188	[9]
189	[2]
190	[15, 12]
191	[2]
192	[11]
193	[7]
194	[15]
195	[8, 5]
196	[14, 3]
197	[3]
198	[9]
199	[13]
200	[4]
201	[12]
202	[10, 3]
203	[2]
204	[2]
205	[13]
206	[10, 1]
207	[13, 16]
208	[12, 14]
209	[4]
210	[9]
211	[3]
212	[10]
213	[9]
214	[8]
215	[13]
216	[6]
217	[5]
218	[4]
219	[6]
220	[8]
221	[13]
222	[10]
223	[7]
224	[7]
225	[7]
226	[10]
227	[8]
228	[7]
229	[4]
230	[2]
231	[1]
232	[5]
233	[4]
234	[4]
235	[3]
236	[4]
237	[3]
238	[4]
239	[7]
240	[8]
241	[2]
242	[7]
243	[4]
244	[1]
245	[5]
246	[11]
247	[3]
248	[5]
249	[6]
250	[4]
251	[1]
252	[1]
253	[7, 4]
254	[12, 13]
255	[13, 18]
256	[6, 13]
257	[16, 18]
258	[19, 21]
259	[9]
260	[3]
261	[9]
262	[9]
263	[16, 17]
264	[15, 11]
265	[6]
266	[12]
267	[12]
268	[7]
269	[4]
270	[9]
271	[15]
272	[12]
273	[15]
274	[14, 15]
275	[4, 18]
276	[8]
277	[2]
278	[1]
279	[5]
280	[4]
281	[10]
282	[9]
283	[14]
284	[13]
285	[13]
286	[6]
287	[9, 16]
288	[2, 5]
289	[14, 3]
290	[18, 11]
291	[2]
292	[11, 18]
293	[8, 22]
294	[1, 18]
295	[11, 18]
296	[17, 16]
297	[10]
298	[2]
299	[14, 15]
300	[19, 20]
301	[26, 4, 11]
302	[20, 13, 8]
303	[22, 7]
304	[8, 6]
305	[24, 15]
306	[12, 15]
307	[8, 18]
308	[6, 11]
309	[5]
310	[8]
311	[14]
312	[1]
313	[8]
314	[4]
315	[3]
316	[4]
317	[4]
318	[4]
319	[3]
320	[4]
321	[3]
322	[3]
323	[4]
324	[3]
325	[7]
326	[4]
327	[8]
328	[1]
329	[6]
330	[8]
331	[4]
332	[5]
333	[5]
334	[1]
335	[2]
336	[6]
337	[5]
338	[4]
339	[3]
340	[8]
341	[4]
342	[3]
343	[2]
344	[2]
345	[3]
346	[1]
347	[3]
348	[4]
349	[5]
350	[4]
351	[1]
352	[3]
353	[1]
354	[3]
355	[8]
356	[2]
357	[3]
358	[9]
359	[3]
360	[9]
361	[7]
362	[4]
363	[1]
364	[4]
365	[4]
366	[5]
367	[2]
368	[12]
369	[9]
370	[3]
371	[3]
372	[9]
373	[3]
374	[1]
375	[7]
376	[2]
377	[3]
378	[10]
379	[9]
380	[7]
381	[7]
382	[4]
383	[8]
384	[9]
385	[9]
386	[3]
387	[3]
388	[2]
389	[5]
390	[4]
391	[4]
392	[7]
393	[9]
394	[3]
395	[1]
396	[3]
397	[3]
398	[8]
399	[5]
400	[3]
401	[8]
402	[10]
403	[3]
404	[4]
405	[3]
406	[4]
407	[6]
408	[6]
409	[3]
410	[2]
411	[7]
412	[1]
413	[6]
414	[4]
415	[5]
416	[6]
417	[5]
418	[1]
419	[2]
420	[4]
421	[3]
422	[2]
423	[1]
424	[2]
425	[1]
426	[3]
427	[4]
428	[6]
429	[5]
430	[7]
431	[8]
432	[5]
433	[7]
434	[7]
435	[6]
436	[5]
437	[3]
438	[3]
439	[3]
440	[2]
441	[6]
442	[5]
443	[5]
444	[4]
445	[6]
446	[4]
447	[5]
448	[1]
449	[8]
450	[4]
451	[3]
452	[7]
453	[2]
454	[6]
455	[1]
456	[6]
457	[6]
458	[4]
459	[5]
460	[5]
461	[8]
462	[1]
463	[5]
464	[5]
465	[1]
466	[6]
467	[6]
468	[3]
469	[4]
470	[5]
471	[3]
472	[1]
473	[3]
474	[9]
475	[8]
476	[10]
477	[7]
478	[3]
479	[2]
480	[3]
481	[2]
482	[8]
483	[4]
484	[4]
485	[6]
486	[4]
487	[9]
488	[12]
489	[1]
490	[2]
491	[1]
492	[1]
493	[9]
494	[8]
495	[9]
496	[2]
497	[4]
498	[3]
499	[5]
500	[5]
501	[2]
502	[4]
503	[3]
504	[1]
505	[5]
506	[4]
507	[4]
508	[3]
509	[3]
510	[7]
511	[1]
512	[1]
513	[1]
514	[1]
515	[1]
516	[4]
517	[4]
518	[5]
519	[3]
520	[5]
521	[5]
522	[2]
523	[8]
524	[2]
525	[1]
526	[2]
527	[4]
528	[5]
529	[4]
530	[4]
531	[5]
532	[1]
533	[2]
534	[2]
535	[3]
536	[7]
537	[5]
538	[5]
539	[4]
540	[8]
541	[5]
542	[5]
543	[6]
544	[5]
545	[4]
546	[6]
547	[1]
548	[5]
549	[4]
550	[6]
551	[7]
552	[6]
553	[2]
554	[1]
555	[5]
556	[3]
557	[3]
558	[4]
559	[3]
560	[5]
561	[11]
562	[5]
563	[6]
564	[1]
565	[4]
566	[1]
567	[3]
568	[3]
569	[7]
570	[5]
571	[4]
572	[1]
573	[1]
574	[1]
575	[4]
576	[3]
577	[8]
578	[5]
579	[4]
580	[3]
581	[2]
582	[5]
583	[5]
584	[5]
585	[3]
586	[5]
587	[2]
588	[6]
589	[6]
590	[1]
591	[1]
592	[5]
593	[5]
594	[4]
595	[5]
596	[5]
597	[5]
598	[2]
599	[3]
600	[4]
601	[8]
602	[5]
603	[2]
604	[5]
605	[3]
606	[6]
607	[5]
608	[4]
609	[6]
610	[4]
611	[5]
612	[7]
613	[7]
614	[5]
615	[1]
616	[5]
617	[5]
618	[5]
619	[5]
620	[1]
621	[7]
622	[5]
623	[5]
624	[4]
625	[2]
626	[1]
627	[6]
628	[7]
629	[3]
630	[6]
631	[9]
632	[9]
633	[6]
634	[5]
635	[4]
636	[5]
637	[5]
638	[3]
639	[3]
640	[3]
641	[2]
642	[4]
643	[7]
644	[6]
645	[3]
646	[6]
647	[2]
648	[1]
649	[6]
650	[7]
651	[6]
652	[6]
653	[8]
654	[5]
655	[5]
656	[7]
657	[1]
658	[1]
659	[1]
660	[6]
661	[3]
662	[4]
663	[6]
664	[5]
665	[7]
666	[3]
667	[6]
668	[5]
669	[5]
670	[11]
671	[13, 12]
672	[6]
673	[1, 6]
674	[4]
675	[17, 4]
676	[3]
677	[3]
678	[3]
679	[4]
680	[4]
681	[4]
682	[3]
683	[1]
684	[4]
685	[4]
686	[3]
687	[2]
688	[6]
689	[5]
690	[1]
691	[3]
692	[7]
693	[9]
694	[7]
695	[2]
696	[8]
697	[5]
698	[5]
699	[4]
700	[3]
701	[3]
702	[4]
703	[1]
704	[2]
705	[3]
706	[4]
707	[3]
708	[2]
709	[4]
710	[2]
711	[4]
712	[4]
713	[6]
714	[1]
715	[3]
716	[2]
717	[11]
718	[7]
719	[4]
720	[8]
721	[3]
722	[5]
723	[4]
724	[3]
725	[1]
726	[3]
727	[1]
728	[5]
729	[4]
730	[4]
731	[2]
732	[6]
733	[4]
734	[7]
735	[1]
736	[7]
737	[7]
738	[6]
739	[3]
740	[4]
741	[5]
742	[4]
743	[7]
744	[4]
745	[5]
746	[6]
747	[6]
748	[6]
749	[10]
750	[6]
751	[9]
752	[10]
753	[7]
754	[8]
755	[2]
756	[1]
757	[4]
758	[3]
759	[3]
760	[8]
761	[7]
762	[8]
763	[1]
764	[8]
765	[6]
766	[7]
767	[6]
768	[7]
769	[1]
770	[3]
771	[2]
772	[1]
773	[1]
774	[3]
775	[2]
776	[4]
777	[4]
778	[4]
779	[1]
780	[4]
781	[4]
782	[1]
783	[1]
784	[3]
785	[4]
786	[6]
787	[6]
788	[6]
789	[5]
790	[4]
791	[3]
792	[7]
793	[6]
794	[1]
795	[5]
796	[5]
797	[4]
798	[5]
799	[5]
800	[5]
801	[3]
802	[5]
803	[3]
804	[7]
805	[6]
806	[2]
807	[5]
808	[5]
809	[6]
810	[3]
811	[6]
812	[6]
813	[7]
