idx	cutoff_idx
0	[22, 20, 27, 42, 28]
1	[20, 59, 57, 34, 23, 33]
2	[7, 5, 55, 33, 52, 53]
3	[37, 7, 46, 33, 47]
4	[7, 18, 5, 20]
5	[26, 25, 5]
6	[51, 20, 14, 16, 10, 2]
7	[3, 19, 9, 26, 8]
8	[14, 9, 7, 22]
9	[6, 8, 38, 34, 36]
10	[35, 32, 15, 31]
11	[45, 48, 12, 38, 26]
12	[42, 20, 16, 49, 14]
13	[10, 47, 46, 40, 67, 44, 36]
14	[7, 42, 6, 15, 41, 52]
15	[16, 33, 30]
16	[6, 25, 11, 9]
17	[32, 17, 35, 39]
18	[30, 27, 25, 53, 22]
19	[40, 54, 42, 47, 58, 43]
20	[11, 12, 18]
21	[30, 13, 29]
22	[3, 4, 32, 16]
23	[29, 4, 13]
24	[14, 40, 46, 7, 11, 47]
25	[14, 41, 13, 42, 40, 15]
26	[13, 11, 19]
27	[7, 8, 9, 27]
28	[38, 40, 54, 56, 9, 32]
29	[10, 35, 49, 19, 7]
30	[49, 27, 38, 17, 51]
31	[36, 10, 34, 35]
32	[38, 28, 12, 25]
33	[2, 10, 32, 3]
34	[50, 52, 21, 23, 47]
35	[6, 26, 12, 53, 24, 54]
36	[24, 18, 26, 39, 16]
37	[12, 26, 8, 56, 16, 57]
38	[32, 14, 12, 36]
39	[5, 24, 4, 21, 26, 58]
40	[51, 43, 47, 21, 49]
41	[14, 3, 13]
42	[6, 11, 29]
43	[41, 19, 7, 46, 44, 51]
44	[21, 28, 30, 20, 62, 29]
45	[45, 43, 7, 9]
46	[13, 36, 37, 14, 12]
47	[70, 28, 19, 71, 32, 67, 75]
48	[29, 13, 12, 26]
49	[47, 20, 19, 23, 51]
50	[12, 35, 13, 18, 36]
51	[22, 39, 6, 49, 4, 12]
52	[46, 22, 44, 56, 58, 60]
53	[11, 63, 48, 9, 65, 33, 60]
54	[34, 37, 15, 12]
55	[19, 5, 16, 10, 44]
56	[10, 11, 1, 3]
57	[26, 31, 15]
58	[21, 24, 25]
59	[53, 24, 48, 19, 18, 15]
60	[36, 35, 3, 4]
61	[8, 25]
62	[7, 6, 50, 30, 17, 51]
63	[31, 14, 41, 2, 13, 40]
64	[16, 14, 22, 55, 20, 43]
65	[67, 22, 65, 53, 20, 59, 34]
66	[14, 30, 12, 4]
67	[27, 55, 60, 16, 32, 12]
68	[14, 56, 13, 15, 45, 28]
69	[39, 40, 63, 38, 65, 30, 28]
70	[15, 8, 16, 45, 11, 77, 56, 54]
71	[32, 48, 4, 23, 22]
72	[18, 22, 40, 45, 16]
73	[38, 40, 41, 13, 28]
74	[46, 29, 34, 44, 31]
75	[47, 46, 21, 20, 52, 18]
76	[9, 10, 35, 20]
77	[6, 5, 33, 8]
78	[8, 25, 48, 21, 7]
79	[15, 33, 12]
80	[12, 27, 13]
81	[9, 24, 10]
82	[24, 17, 14, 40, 16]
83	[10, 21, 22, 27]
84	[55, 26, 52, 23, 21]
85	[25, 56, 29, 46, 61, 30]
86	[27, 56, 58, 21, 29, 25]
87	[28, 59, 50, 10, 41, 2]
88	[3, 7, 12]
89	[1, 5, 30, 6]
90	[6, 7, 17, 28, 55]
91	[14, 46, 20, 16, 44]
92	[50, 19, 23, 12, 54, 17]
93	[19, 38, 18, 37]
94	[19, 48, 17, 21, 7]
95	[7, 5, 9, 52, 32]
96	[12, 10, 11]
97	[10, 41, 13, 9]
98	[7, 11, 2]
99	[5, 20, 21, 6, 29, 17]
100	[4, 11, 2, 7]
101	[12, 37, 36, 13]
102	[32, 35, 6, 34, 5]
103	[22, 6, 55, 53, 57, 24]
104	[9, 44, 19, 4, 20]
105	[52, 7, 55, 18, 36, 35]
106	[55, 19, 17, 43, 48, 4, 53]
107	[31, 13, 38, 18]
108	[14, 43, 44, 15, 12, 11]
109	[50, 32, 7, 51, 6]
110	[54, 19, 52, 45, 11]
111	[3, 34, 13, 4, 2, 33]
112	[6, 5, 14, 36, 15]
113	[20, 15, 19, 14, 43]
114	[53, 57, 17, 56, 63, 5, 65]
115	[16, 6, 24]
116	[28, 19, 4, 21]
117	[17, 43, 45, 19]
118	[1, 11, 7]
119	[12, 14, 11, 15, 40]
120	[19, 4, 11]
121	[9, 15, 35, 10, 47]
122	[13, 40, 41, 21, 19]
123	[47, 46, 45, 19, 48]
124	[1, 27, 19]
125	[12, 19, 20, 6]
126	[25, 24, 49, 17, 19]
127	[30, 40, 43, 42, 38]
128	[41, 12, 13, 40, 11, 42]
129	[4, 5, 9, 38, 15]
130	[15, 34, 38, 36]
131	[55, 23, 19, 48, 20, 52]
132	[5, 12, 10, 37]
133	[16, 44, 9, 40, 14]
134	[12, 34, 36, 6]
135	[6, 5, 46, 7, 18]
136	[15, 21, 22, 8]
137	[30, 23, 2, 57, 24, 36]
138	[11, 43, 42, 5, 44, 13]
139	[64, 48, 17, 41, 52, 20, 50]
140	[3, 38, 10, 2, 5, 18]
141	[23, 42, 40, 16]
142	[13, 39, 15, 2]
143	[44, 46, 36, 43, 35]
144	[50, 46, 49, 8, 32]
145	[17, 40, 43, 18, 5]
146	[23, 24, 48, 47, 39]
147	[26, 2, 31]
148	[12, 49, 39, 18, 29]
149	[52, 36, 54, 37, 21, 25]
150	[48, 49, 21, 20, 11]
