idx	cutoff_idx
0	[8, 48, 42, 9, 20]
1	[28, 67, 29, 84, 63, 9, 47, 14, 11, 25]
2	[26, 24, 30, 32, 23, 25]
3	[101, 89, 10, 95, 83, 76, 106, 100, 22, 104, 21, 108]
4	[14, 34, 15, 12, 10]
5	[31, 25, 81, 68, 39, 35, 30, 105, 27, 80, 84]
6	[31, 18, 19, 11, 47]
7	[99, 54, 51, 106, 69, 95, 88, 110, 55, 107, 52, 75]
8	[38, 87, 33, 67, 73, 85, 119, 86, 120, 81, 35, 74]
9	[50, 3, 36, 15, 31]
10	[46, 23, 12, 9, 32]
11	[40, 41, 11, 10]
12	[48, 10, 18, 26, 22]
13	[31, 16, 25]
14	[14, 20, 34, 6]
15	[26, 24, 22, 20]
16	[76, 30, 84, 63, 36, 80, 38, 77, 62, 64, 98, 39]
17	[6, 21, 12, 37]
18	[19, 18, 22, 5]
19	[101, 53, 21, 37, 110, 125, 73, 92, 74, 79, 58, 94]
20	[12, 14, 16]
21	[89, 85, 61, 23, 55, 33, 77, 21, 26, 27]
22	[6, 7, 11]
23	[76, 75, 80, 27, 79, 70, 51, 81, 98, 68, 72]
24	[46, 56, 18, 58, 109, 39, 91, 97, 72, 65, 57]
25	[81, 109, 84, 105, 65, 104, 95, 113, 57, 102, 66]
26	[8, 48, 24, 9, 41]
27	[12, 35, 9, 29, 47, 2, 3]
28	[30, 28, 6, 27, 34]
29	[36, 33, 44, 3, 12]
30	[3, 26, 23, 38]
31	[27, 16, 26]
32	[63, 64, 81, 66, 65, 67, 62, 82, 83, 46]
33	[23, 15, 29]
34	[8, 18]
35	[6, 13]
36	[61, 63, 117, 70, 55, 62, 35, 66, 69, 73, 68, 46]
37	[14, 5, 26, 12, 4]
38	[20, 22, 26]
39	[16, 22, 20]
40	[40, 55, 107, 54, 106, 45, 120, 81, 36, 10, 119, 70]
41	[58, 52, 46, 56, 61, 69, 48]
42	[5, 15, 14]
43	[84, 52, 92, 37, 90, 102, 66, 78, 104, 8, 87, 26]
44	[5, 3]
45	[7, 18, 19, 13]
46	[35, 28, 14, 50, 5]
47	[5, 13]
48	[25, 18]
49	[23, 2, 1, 19]
50	[12, 63, 44, 22, 13, 6, 40]
51	[10, 7]
52	[91, 124, 16, 38, 89, 53, 122, 96, 115, 72, 8, 121]
53	[13, 24, 34, 14, 47]
54	[68, 58, 30, 33, 66, 61, 69]
55	[94, 108, 69, 92, 71, 109, 9, 48, 47, 52, 91, 50]
56	[6, 9, 7]
57	[93, 100, 113, 73, 65, 105, 109, 106, 108, 124, 103, 111]
58	[35, 3, 29, 10]
59	[17, 15, 3]
60	[34, 82, 45, 103, 49, 78, 37, 102, 85, 107, 74, 21]
61	[22, 2, 13]
62	[66, 37, 65, 77, 32, 38, 71, 103, 88, 64, 76]
63	[6, 24, 7, 27]
64	[68, 72, 73, 11, 57, 28, 60, 77, 88, 33, 48]
65	[21, 1, 57, 13, 42, 14]
66	[39, 15, 1, 2]
67	[61, 36, 57, 11, 10, 38, 51, 41]
68	[37, 9, 38, 30, 29]
69	[47, 23, 18, 16, 46]
70	[89, 34, 35, 22, 46, 77, 47, 72, 104, 107, 9, 97]
71	[45, 20, 12, 18, 21]
72	[11, 42, 33, 26, 12, 21, 5]
73	[36, 7, 15, 21]
74	[21, 26, 19, 34]
75	[116, 123, 24, 93, 83, 64, 124, 92, 32, 39, 38, 110]
76	[15, 21, 22]
77	[86, 65, 23, 92, 46, 76, 33, 44, 101, 70, 39, 15]
78	[37, 20, 39, 19, 58, 9]
79	[11, 24, 70, 53, 63, 18, 31]
80	[18, 13, 64, 7, 4, 47, 31]
81	[34, 7, 40, 39, 31]
82	[8, 13, 16]
83	[18, 1, 27]
84	[48, 46, 50, 2, 20, 45]
85	[6, 37, 52, 4, 49, 29]
86	[32, 43, 51, 44, 25, 17]
87	[41, 28, 11, 19]
88	[77, 94, 52, 78, 76, 39, 71, 44, 93, 70]
89	[56, 20, 8, 24, 57, 41]
90	[46, 15, 30, 34, 10]
91	[10, 32, 56, 22, 23, 24, 13]
92	[3, 9, 6, 56, 46, 61]
93	[2, 5, 26, 6]
94	[16, 23, 22, 20, 21, 33]
95	[37, 41, 38, 116, 8, 115, 39, 114, 10, 36, 47, 9]
96	[13, 26, 44, 11, 34]
97	[11, 22, 43, 33, 20, 18]
98	[61, 59, 11, 60, 40, 55]
99	[37, 36, 39, 8, 38, 1]
100	[16, 31, 2, 47, 48]
101	[4, 2]
102	[9, 11, 56, 86, 12, 58, 79, 38, 25]
103	[33, 9, 8, 35]
104	[5, 19, 23, 36]
105	[23, 35, 28, 3, 41, 77, 53, 9, 5]
106	[76, 81, 97, 74, 65, 111, 29, 73, 1, 78, 92, 104]
107	[9, 23, 26, 1, 22]
108	[30, 27, 32, 4, 11]
109	[38, 11, 33, 23, 12]
110	[122, 51, 25, 67, 13, 66, 111, 94, 56, 98, 26, 95]
111	[5, 35, 26, 48, 1]
112	[6, 35, 5, 50, 42, 19]
113	[3, 38, 39, 2, 1]
114	[4, 7]
115	[30, 29, 32, 21]
116	[11, 25, 14]
117	[10, 18, 8]
118	[46, 44, 104, 87, 95, 41, 4, 99, 94, 93, 102, 105]
119	[8, 27, 10, 16, 6]
120	[30, 16, 4]
121	[9, 19, 30]
122	[27, 14, 29, 7]
123	[9, 10, 35]
124	[28, 10, 23, 45]
125	[8, 5, 24]
126	[10, 27, 19, 17]
127	[20, 7, 42, 11, 26]
128	[5, 28, 2]
129	[2, 15, 1, 26]
130	[3, 14, 24, 27, 2]
131	[6, 4]
132	[55, 14, 51, 27, 56, 2]
133	[29, 32, 19, 25, 42, 23]
134	[12, 11, 43, 21, 23]
135	[88, 89, 47, 49, 98, 97, 90, 20, 53, 87, 74]
136	[9, 15, 35]
137	[69, 102, 5, 57, 4, 3, 103, 12, 21, 70, 39, 53]
