idx	cutoff_idx
0	[4]
1	[5]
2	[10]
3	[6]
4	[6, 10]
5	[4]
6	[28, 4, 5]
7	[2]
8	[5]
9	[13]
10	[1]
11	[18, 16]
12	[5]
13	[5]
14	[1]
15	[3]
16	[2]
17	[7]
18	[2]
19	[9, 23, 22]
20	[5]
21	[25, 18]
22	[5]
23	[6]
24	[10]
25	[5]
26	[21, 24]
27	[3]
28	[4]
29	[13]
30	[6]
31	[3]
32	[6]
33	[7]
34	[3]
35	[12]
36	[9, 11, 19]
37	[1]
38	[2]
39	[1]
40	[17, 16, 24]
41	[1]
42	[9]
43	[2]
44	[3]
45	[3]
46	[7]
47	[2]
48	[8, 9]
49	[2]
50	[2]
51	[17, 13]
52	[1]
53	[1]
54	[3]
55	[2]
56	[21, 22]
57	[10]
58	[2]
59	[4]
60	[6]
61	[2]
62	[4]
63	[25, 16, 38, 26]
64	[9, 8]
65	[3]
66	[4]
67	[1]
68	[7, 17]
69	[9, 25]
70	[10]
71	[18, 24]
72	[1]
73	[6]
74	[5]
75	[7]
76	[2]
77	[4]
78	[6]
79	[5]
80	[3]
81	[1]
82	[5]
83	[7]
84	[4]
85	[16, 8, 11]
86	[9]
87	[21, 22, 19]
88	[8]
89	[3]
90	[24, 13, 14]
91	[27, 28, 32]
92	[2]
93	[1]
94	[30, 31, 32]
95	[2]
96	[6]
97	[7]
98	[3]
99	[6, 9]
100	[2]
101	[3]
102	[5]
103	[4]
104	[12]
105	[4]
106	[15, 51, 50, 13, 32]
107	[5]
108	[29, 20, 21]
109	[14]
110	[13]
111	[1]
112	[28, 5, 20]
113	[3]
114	[9]
115	[3]
116	[8, 29, 1]
117	[1]
118	[8]
119	[12, 25]
120	[3]
121	[7]
122	[6]
123	[19, 9]
124	[3]
125	[3, 8]
126	[9]
127	[10]
128	[10, 31, 30]
129	[1]
130	[4]
131	[10]
132	[9]
133	[3]
134	[1]
135	[16]
136	[13, 16, 10]
137	[2]
138	[7]
139	[11]
140	[4]
141	[3]
142	[31, 33, 30, 7]
143	[8]
144	[3]
145	[1]
146	[9]
147	[2]
148	[11, 8]
149	[5]
150	[4]
151	[3]
152	[3]
153	[3]
154	[11]
155	[17, 16]
156	[1]
157	[12]
158	[1]
159	[2]
160	[10, 12, 11, 38]
161	[3]
162	[2]
163	[2]
164	[2]
165	[1]
166	[3]
167	[6]
168	[12]
169	[30, 11, 28]
170	[1]
171	[2]
172	[6]
173	[6]
174	[16]
175	[7]
176	[2]
177	[1]
178	[4]
179	[1]
180	[12]
181	[1]
182	[8]
183	[21, 29, 34, 33]
184	[3]
185	[1]
186	[9]
187	[23, 24, 35, 34]
188	[3]
189	[2]
190	[17, 9]
191	[2]
192	[3]
193	[1]
194	[1]
195	[3]
196	[5]
197	[12]
198	[11]
199	[3]
200	[4]
201	[6]
202	[2, 4]
203	[10]
204	[1]
205	[15]
206	[38, 37, 31, 13]
207	[14]
208	[2]
209	[10]
210	[4]
211	[2]
212	[6]
213	[2]
214	[5]
215	[5]
216	[2]
217	[1]
218	[5]
219	[3]
220	[2]
221	[1]
222	[1]
223	[4]
224	[6]
225	[15, 18]
226	[1]
227	[2]
228	[8]
229	[16, 17]
230	[1]
231	[4]
232	[7]
233	[3]
234	[1]
235	[3]
236	[7]
237	[7, 11]
238	[1]
239	[11]
240	[2]
241	[4]
242	[2]
243	[2]
244	[15]
245	[13]
246	[9, 19]
247	[7, 15, 14, 13, 40]
248	[2]
249	[5]
250	[3]
251	[6]
252	[15, 14]
253	[13]
254	[12]
255	[3]
256	[1]
257	[7]
258	[2]
259	[5]
260	[9]
261	[3]
262	[6, 7]
263	[2]
264	[1]
265	[7]
266	[8]
267	[9]
268	[2]
269	[7]
270	[12]
271	[3]
272	[1]
273	[9]
274	[7]
275	[1]
276	[2]
277	[3]
278	[4, 3]
279	[4]
280	[11]
281	[9]
282	[3]
283	[9]
284	[1]
285	[5]
286	[1]
287	[11]
288	[3]
289	[14, 17]
290	[13]
291	[24, 1]
292	[6]
293	[1]
294	[3]
295	[1]
296	[9, 2]
297	[5]
298	[7]
299	[4]
300	[11]
301	[28, 29, 34]
302	[21, 14, 8]
303	[2]
304	[2]
305	[4, 17, 22, 32]
306	[1]
307	[5]
308	[2]
309	[9]
310	[4]
311	[5]
312	[3]
313	[3]
314	[1]
315	[6]
316	[6]
317	[2]
318	[1]
319	[1]
320	[8]
321	[1]
322	[25, 10, 9]
323	[6]
324	[2]
325	[8]
326	[9, 10]
327	[1]
328	[1]
329	[4]
330	[11]
331	[1]
332	[5]
333	[25, 14]
334	[3, 6, 5]
335	[7]
336	[13]
337	[2]
338	[17, 7]
339	[3]
340	[2]
341	[7, 19]
342	[14, 16, 21]
343	[5]
344	[3]
345	[2]
346	[1]
347	[28, 22, 32]
348	[10, 24]
349	[2]
350	[2]
351	[4]
352	[9]
353	[6]
354	[6]
355	[4]
356	[2]
357	[1]
358	[1]
359	[10]
360	[5, 6]
361	[1, 17]
362	[5]
363	[2]
364	[3]
365	[1]
366	[1]
367	[2]
368	[3]
369	[11]
370	[5]
371	[26, 7]
372	[2]
373	[1]
374	[3]
375	[9]
376	[4]
377	[5]
378	[1]
379	[7]
380	[2]
381	[7]
382	[3]
383	[9]
384	[5]
385	[3, 4]
386	[4]
387	[16, 13]
388	[6]
389	[4, 3]
390	[14]
391	[2]
392	[3]
393	[8]
394	[8]
395	[12]
396	[1]
397	[5]
398	[2]
399	[1]
400	[5]
401	[5, 23]
402	[35, 24, 38, 40]
403	[18, 12]
404	[7]
405	[19, 21]
406	[2]
407	[1]
408	[2]
409	[5]
410	[15, 14]
411	[11]
412	[3]
413	[6]
414	[5]
415	[4]
416	[2]
417	[25, 32, 31]
418	[7]
419	[4]
420	[5]
421	[1]
422	[6]
423	[1]
424	[1]
425	[9]
426	[10]
427	[2]
428	[5]
429	[4]
430	[6]
431	[3]
432	[5]
433	[1]
434	[3]
435	[6]
436	[3]
437	[4]
438	[20, 4]
439	[5, 1]
440	[2]
441	[14, 22]
442	[4]
443	[5]
444	[10]
445	[3]
446	[11]
447	[5]
448	[2]
449	[17, 15]
450	[2]
451	[14, 11]
452	[4]
453	[4]
454	[3]
455	[5, 21]
456	[8]
457	[6]
458	[3]
459	[7]
460	[1]
461	[2]
462	[23, 15, 10]
463	[3]
464	[2]
465	[1]
466	[3]
467	[19, 18]
468	[9]
469	[2]
470	[8]
471	[3]
472	[6]
473	[10]
474	[5]
475	[11]
476	[7, 3]
477	[7]
478	[2]
479	[8]
480	[6, 12]
481	[1]
482	[6]
483	[3]
484	[2]
485	[3]
486	[5, 6]
487	[1]
488	[10]
489	[3]
490	[3]
491	[2]
492	[1]
493	[2]
494	[5]
495	[1]
496	[12]
497	[20, 7]
498	[4, 5, 25]
499	[14]
500	[8]
501	[3]
502	[2]
503	[5]
504	[2]
505	[4]
506	[2]
507	[2]
508	[2]
509	[3]
510	[2]
511	[1]
512	[1]
513	[3]
514	[3]
515	[24, 25, 14]
516	[26, 2, 33]
517	[1]
518	[10]
519	[1]
520	[2]
521	[2]
522	[8]
523	[15]
524	[3]
525	[9]
526	[19, 22]
527	[11]
528	[10, 40, 42, 20]
529	[2]
530	[4]
531	[3]
532	[8]
533	[5]
534	[5]
535	[2]
536	[12]
537	[13, 5]
538	[1]
539	[2]
540	[4, 16]
541	[6]
542	[3]
543	[20, 21]
544	[4]
545	[2]
546	[3]
547	[1]
548	[3]
549	[4]
550	[1]
551	[16, 17]
552	[4, 14]
553	[16, 17]
554	[7]
555	[2]
556	[30, 9, 8]
557	[46, 18, 24, 12, 35]
558	[10]
559	[4]
560	[1]
561	[1]
562	[11, 2]
563	[9]
564	[18, 9]
565	[20, 15, 12]
566	[2]
567	[5]
568	[7]
569	[7]
570	[10, 2]
571	[6]
572	[1]
573	[1]
574	[6]
575	[2]
576	[4]
577	[3]
578	[5]
579	[1]
580	[13]
581	[12, 13]
582	[4]
583	[19, 22, 27]
584	[10, 5]
585	[3, 6]
586	[10]
587	[18, 19]
588	[11, 2]
589	[2]
590	[10]
591	[3]
592	[7]
593	[2]
594	[8, 21]
595	[3]
596	[7]
597	[3]
598	[8]
599	[5]
600	[3]
601	[1]
602	[2]
603	[3]
604	[16]
605	[2]
606	[7]
607	[22, 11]
608	[8]
609	[17, 4]
610	[4]
611	[2, 26, 9]
612	[3]
613	[4, 20]
614	[15, 18]
