idx	cutoff_idx
0	[12, 15, 3]
1	[11, 9]
2	[18, 34, 19]
3	[11, 4]
4	[17, 23, 25, 16, 27]
5	[12, 23, 4]
6	[16, 15, 20]
7	[12, 18]
8	[12, 24, 26, 21]
9	[23, 15, 31]
10	[33, 14, 29]
11	[10, 17]
12	[7, 25, 28]
13	[11, 22]
14	[37, 35, 1, 36, 17]
15	[4, 11]
16	[29, 17, 8]
17	[10, 37, 58, 18, 8, 32]
18	[17, 26, 27]
19	[29, 24, 11]
20	[8, 11]
21	[14, 15, 24]
22	[11, 5]
23	[20, 13]
24	[18, 30, 24]
25	[13, 6]
26	[13, 15]
27	[13, 18]
28	[19, 21, 30]
29	[71, 66, 33, 28, 69, 24, 31]
30	[10, 17]
31	[23, 4]
32	[23, 1, 16]
33	[35, 11, 36, 42]
34	[19, 22]
35	[22, 26, 25, 32]
36	[31, 8, 19]
37	[23, 22, 1, 37, 3]
38	[50, 27, 1, 21, 24]
39	[1]
40	[5, 32, 28, 13]
41	[17, 16, 8]
42	[12, 4]
43	[37, 6, 24, 11]
44	[8, 4]
45	[7, 26, 38, 25]
46	[13, 18, 6, 5]
47	[12, 13, 27, 26]
48	[7, 17]
49	[5, 17, 26]
50	[19, 2]
51	[18, 10]
52	[19, 23, 12, 29, 28]
53	[4, 2, 5]
54	[17, 3]
55	[13, 23, 1]
56	[40, 7, 39, 53, 8]
57	[26, 30, 12]
58	[14, 24, 13]
59	[34, 71, 37, 14, 47, 72, 61]
60	[18, 8]
61	[23, 21, 26, 36]
62	[5, 10]
63	[8, 4]
64	[4, 10, 24]
65	[29, 17, 57, 23, 43, 69, 3, 63]
66	[4, 5, 23, 32]
67	[2, 17, 28, 49, 65, 36, 25]
68	[7, 19]
69	[23, 4]
70	[2, 31, 3]
71	[8]
72	[38, 21, 37, 20]
73	[13, 9]
74	[15, 12, 4]
75	[28, 62, 61, 47, 69, 4, 12]
76	[5, 12]
77	[4, 2]
78	[16, 25, 15]
79	[12, 23]
80	[5, 1]
81	[11, 9]
82	[27, 3, 17]
83	[7, 40, 2, 25]
84	[9, 10]
85	[20, 18, 17]
86	[22, 16, 9]
87	[13, 14, 29]
88	[5, 13]
89	[28, 12, 29, 49, 13, 27]
90	[8]
91	[13, 9]
92	[9, 17]
93	[5, 12]
94	[10, 11]
95	[25, 14, 29]
96	[26, 15, 17]
97	[3, 19, 18]
98	[17, 16, 23]
99	[8, 18, 29, 40, 32, 19]
100	[20, 7]
101	[2, 27, 1]
102	[16, 4, 6, 19]
103	[2, 4]
104	[3, 6]
105	[22, 23, 24, 11]
106	[18, 31, 33]
107	[19, 10, 22, 9]
108	[17, 4, 18]
109	[13, 11, 23]
110	[10, 15, 13]
111	[16, 27, 28, 1, 38]
112	[12, 11]
113	[14, 38, 17, 23, 3]
114	[25, 48, 5, 29, 41, 4, 30]
115	[8, 11, 31]
116	[30, 8, 21]
117	[11, 5]
118	[39, 26, 9, 20, 14]
119	[16, 11, 17]
120	[6, 9]
121	[14, 15, 8]
122	[24, 11, 22, 5]
123	[14, 16, 6]
124	[14, 9, 19]
125	[11, 20]
126	[13, 11]
127	[2, 1]
128	[13, 4, 34]
129	[16, 17, 4]
130	[6]
131	[28, 25, 19, 18]
132	[12, 11]
133	[16, 21, 7, 27, 10]
134	[13, 21]
135	[5, 14, 7]
136	[49, 20, 26, 3, 42, 4]
137	[15, 8]
138	[13, 21]
139	[7, 6]
140	[24, 9]
141	[17, 24]
142	[11, 18, 12]
143	[26, 17, 9]
144	[8, 17, 10]
145	[22, 25]
146	[3, 21, 9]
147	[20, 27, 26, 28]
148	[14, 13]
149	[50, 17, 24, 21, 41, 15]
150	[20, 29, 2, 24]
151	[12, 26, 16]
152	[11, 18, 2]
153	[10, 19, 4]
154	[13, 27, 15]
155	[10, 21, 16]
156	[3, 17]
157	[7, 5]
158	[11, 20, 24]
159	[16, 31, 7, 21]
160	[25, 10]
161	[18, 28, 27]
162	[9, 10]
163	[18, 6, 28, 17]
164	[3]
165	[15, 10, 24]
166	[1, 2, 19]
167	[53, 14, 77, 78, 54, 17, 36, 29]
168	[32, 8, 31]
169	[14, 18, 32, 10, 16]
170	[1, 14]
171	[49, 24, 23, 25, 18, 19, 44]
172	[10, 9, 14]
173	[17, 8]
174	[1, 2, 13, 23]
175	[21, 4]
176	[15, 39, 12, 17, 44]
177	[27, 12, 54, 26, 30, 40]
178	[3, 8, 26]
179	[47, 7, 3, 38, 27, 48]
180	[12, 9]
181	[11, 20]
182	[5]
183	[33, 20, 32, 31, 4, 6]
184	[28, 19, 1]
185	[3, 5, 16]
186	[34, 33, 32, 31, 47, 36, 49]
187	[4, 3]
188	[28, 20, 19, 45, 47, 60, 33]
189	[2, 23, 3]
190	[6, 8, 27, 20]
191	[11, 22]
192	[24, 25]
193	[5, 7]
194	[9, 8, 10]
195	[20, 7]
196	[33, 40, 11, 14]
